Name,SKU,Price,_weight,Description,Featured,Categories,Image
Pinion Washer Dana 20-50 ,DAN30186,1.79,0.5,"part# DAN30186
 
 washer for pinion yoke axle and transfer cases",No,"Driveline,Yokes,U-joints|Transmission/Transfer Case",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/d20-washer.jpg
Toyota Transfercase Rebuild Kit (minor),105001-1,179,16,"part# 105001-1
 
 Kit contains all minor gaskets, seals, and bearings for Toyota gear driven transfer cases from 1979-1995. Only Top quality Toyota OEM gaskets are used in this kit. Bearings include SKF, NSK, NACHI and KOYO. Does not include flange nuts, or needle bearings.",No,Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/tcase-rebuild-kit-minor.jpg
Toyota Transfercase Rebuild Kit (major),105002-1,269,16,"part#††105002-1
 
 Kit contains all major gaskets, seals and bearings for Toyota gear driven transfer cases from 1979-1995. Only top quality Toyota OEM gaskets are used in this kit. Bearings include SKF, NSK, NACHI and KOYO. Kit includes most major transfer case bearings including roller bearings. Also includes flange nuts.",No,Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/tcase-rebuild-kitmajor.jpg
2wd/4wd Logo Shift Knob For Toyota,182503,5.25,2,"part# 182503
 
 Replacement rubber shift knobs for Toyota transmissions and transfer cases. High quality metric threads for easy installation. Includes recessed Trail-Gear mountain logo on top. Also fits Samurai transfer case.
 
 Application Note: Our knobs are tapped for use with stock metric threaded shifters. Some after market twin stick shifters use American threads. In order to use this knob on an American threaded after market shifter, it will be necessary to retap the brass threads in the shift knob.",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/shift-knobs3.jpg
4.7 Logo Shift Knob For Toyota,182502,5.25,2,"part# 182502
 
 Replacement rubber shift knobs for Toyota transmissions and transfer cases. High quality metric threads for easy installation. Includes recessed Trail-Gear mountain logo on top. Also fits Samurai transfer case.
 
 Application Note: Our knobs are tapped for use with stock metric threaded shifters. Some after market twin stick shifters use American threads. In order to use this knob on an American threaded after market shifter, it will be necessary to retap the brass threads in the shift knob.",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/shift-knobs2.jpg
2.28 Logo Shift Knob For Toyota,182501,5.25,2,"part#††182501
 
 Replacement rubber shift knobs for Toyota transmissions and transfer cases. High quality metric threads for easy installation. Includes recessed Trail-Gear mountain logo on top. Also fits Samurai transfer case.
 
 Application Note: Our knobs are tapped for use with stock metric threaded shifters. Some after market twin stick shifters use American threads. In order to use this knob on an American threaded after market shifter, it will be necessary to retap the brass threads in the shift knob.",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/shift-knobs1.jpg
Mountain Logo Shift Knob For Toyota,182500-K,5.25,2,"part# 182500-K
 
 Replacement rubber shift knobs for Toyota transmissions and transfer cases. High quality metric threads for easy installation. Includes recessed Trail-Gear mountain logo on top. Also fits Samurai transfer case.
 
 Application Note: Our knobs are tapped for use with stock metric threaded shifters. Some after market twin stick shifters use American threads. In order to use this knob on an American threaded after market shifter, it will be necessary to retap the brass threads in the shift knob.",No,Transmission/Transfer Case|Shifters|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/shift-knobs.jpg
Heavy Duty Shift Spring Kit For Toyota Transfercase,,4.25,2,"part# 100069-1,100083-1
 
 The stock transfer case shift springs tend to give a sloppy feel to the shifters and can lead to the transfer case shift lever popping out of gear on the trail. We recommend heavy duty shift springs be used with any 4.70 gear set or dual adapter installation. Use two springs for rear transfer case and one spring in the front crawl box. Fits all gear driven, Toyota transfer cases from 1979-1995.",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/shifter-parts11.jpg
Toyota Transfercase Shifter Base Boot,100064-1,10,0.5,"part# 100064-1
 
 Genuine Toyota transfer case replacement shift boot. For use with stock shifter sold in our store.",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/sb1.jpg
Toyota Replacement Driveline Bolt,140059-1,5.84,2,"part# 140059-1,100054-1,140058-1
 
 Replacement drive shaft bolts, nuts and washers. Bolts include factory thread lock adhesive applied to threads.Kit comes with nut, bolt, and lock washer",No,"Driveline,Yokes,U-joints|Vehicle Brands|Toyota",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/driveshaft-bolt.jpg
Dust Shield For Toyota Differential Flange,140082-1,8.5,1.5,"part# 140082-1
 
 dust shield fits front or rear diff. flanges",No,"Vehicle Brands|Toyota|Axles|Toyota 8""",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/dust-shield1.jpg
Dust Shield For Toyota Transfercase Flange ,105004-1,8.5,1.5,"part# 105004-1
 
 Fits front or rear,† transfer case output.",No,Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/dust-shield.jpg
Triple Drilled Flange Without Shield For Toyota ,100001-1,20,3,"part# 100001-1
 
 Will accommodate dust shield from t/case or differential.",No,"Vehicle Brands|Toyota|Axles|Toyota 8""|Transmission/Transfer Case",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/triple-drilled-with-no-flange.jpg
Triple Drilled Differential Flange For Toyota with Shield,100004-1-K,27,3,"part# 100004-1-K
 
 Has all the common 1984-1995 patterns in one, universal output flange. Includes 4cyl CV and Non CV patterns as well as V6 CV pattern. Makes sourcing and reversing drive lines much easier. Fits gear driven transfer cases and 8"" differentials. Includes installed dust shield.",No,"Vehicle Brands|Toyota|Axles|Toyota 8""",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/triple-drilled-flange1.jpg
Triple Drilled Transfer Case Flange With Shield For Toyota,100004-1-K,27,3,"part# 100004-1-K
 
 Has all the common 1984-1995 patterns in one, universal output flange. Includes 4cyl CV and Non CV patterns as well as V6 CV pattern. Makes sourcing and reversing drive lines much easier. Fits gear driven transfer cases and 8"" differentials. Includes installed dust shield.",No,Transmission/Transfer Case|Adapters|Transmission/Transfer Case|Low Gear Sets|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/triple-drilled-flange.jpg
Toyota Top Shift Transfer Case Shifter Base,100126-1-K,35,1,"part# 100126-1-K
 
 Transfer Case Shift Base (Top shift)",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/shifter-parts1.jpg
Toyota Transfer Case Shifter Without Base,100008-1-K,75,0.1,"part# 100008-1-K
 
 Transfer Case Shifter w/Knob",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/shifter-parts.jpg
Toyota Top Shift Transfer Case Shifter ,100071-1-K,109,1,"part# 100071-1-K
 
 Stock replacement shifter handle and base. Bolts in using stock bolts. Fits top shift gear drive transfer cases from 1979-1995.",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/shifter-225.jpg
Bomb Proof Toyota Motor Mounts,186040-1-K,95,10,"part# 186040-1-K
 
 Anyone who has dual cases with 4.70 gears in their Toyota rock crawler has at one time or another broken an OEM rubber motor mount and heard the awful sound of their fan blades hitting their radiator or worse. We at Trail-Gear have an answer for that problem, we call it our Bomb Proof Motor Mount Kit. We feel so confident about this product that we back it up with our world famous No Questions Asked Lifetime Warranty.
 
 The base of the motor mount (frame side) is made out of 1/4 inch plate, while the surface plate that the motor sits on is made out of 3/8 inch material and has a class 10.9 bolt that is mechanically locked to the engine mount plate, not just threaded in. We made the bushings out of a high grade polyurethane for durability and years of dependability. The finish is a black zinc plating that looks sharp and will last a lifetime. The mount holes are slotted so that the Bomb Proof Motor Mount Kit is easy to install and can be used on 3.5 inch and 3.75 inch applications.† You don?t even have to measure to figure out what motor you have; our Bomb Proof Motor Mount Kit just works.
 
 Applications:
 <ul>
 	<li>Pickup and 4Runner† 4 Cylinder 22R &amp; 22RE</li>
 	<li>Pickup and 4Runner† V6 3.0 89-94</li>
 	<li>Tacoma† 2.7 &amp; 3.4 95-04</li>
 </ul>",No,Vehicle Brands|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/toymotormounts.jpg
